Argentina Copa Argentina,arca
Argentina Primera División,ar1n
Asia AFC Champions League,afcl
Australia A-League,aus1
Australia FFA Cup,ffac
Belgium Belgian Cup,ccb
Belgium Belgian Super Cup,besc
Belgium Pro League,be1
Brazil Copa do Brasil,brc
Brazil Paulista A1,bcp1
Brazil Serie A,bra1
Chile Copa Chile,ch1c
Chile Primera División,clpd
China China League One,clo
China Chinese Super League,csl
England Championship,gb2
England Community Shield,gbcs
England EFL League One,gb3
England EFL League Two,gb4
England EFL Trophy,gbfl
England FA Cup,fac
England League Cup,cgb
England Premier League,gb1
Europe UEFA Champions League,cl
Europe UEFA Europa Conference League,ucol
Europe UEFA Europa League,el
Europe UEFA Super Cup,usc
Finland Finnish Cup,fil
Finland Veikkausliiga,fi1
France Coupe de France,frc
France Ligue 1,fr1
France Ligue 2,fr2
France Trophee des Champions - Super Cup,frch
Germany 2. Bundesliga,l2
Germany Bundesliga,l1
Germany DFB Pokal,dfb
Germany DFL Super Cup,dfl
Hong Kong Hong Kong FA Cup,hkfa
Hong Kong Hong Kong Premier League,hgkg
Hong Kong Sapling Cup,hkp2
Hong Kong Senior Shield,hksc
International AFC Asian Cup,am23
International Africa Cup of Nations,afcn
International CONCACAF Champions League,ccl
International FIFA Club World Cup,klub
International WC Qualification Asia,wmq1
International UEFA Euro Qualifiers,emq
Italy Coppa Italia,cit
Italy Serie A,it1
Italy Supercoppa Italiana,sci
Japan Emperor Cup,jemp
Japan J1 League,jap1
Japan J2 League,jap2
Japan J-League Cup,japc
Mexico Liga MX,mex1
Netherlands Eerste Divisie,nl2
Netherlands Eredivisie,nl1
Netherlands KNVB Cup,nlp
Norway Eliteserien,no1
Norway Norwegian Football Cup,nopo
Portugal Liga NOS,po1
Portugal Portuguese League Cup,pocp
Portugal Portuguese Super Cup,posu
Portugal Taça de Portugal,popo
Russia Russian Cup,rup
Russia Russian Premier League,ru1
Scotland Premiership,sc1
Scotland Scottish Cup,sfa
Scotland Scottish League Cup,scp
South America Copa Libertadores,cli
South America Copa Sudamericana,cs
South Korea K League 1,rsk1
South Korea Korean FA Cup,rkpo
Spain Copa del Rey,cdr
Spain La Liga,es1
Spain Segunda División,es2
Spain Supercopa de Espana,suc
Sweden Allsvenskan,se1
Sweden Svenska Cupen,sec
USA MLS,mls1
USA US Open Cup,mlsp
